Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
213,Ross Barkley,eng ENG,FWMF,Nice,fr Ligue 1,29-093,1993,18,6,638,7.1,3,1,4,3,0,0,1,0,3.3,3.3,0.8,4.0,15,26,31,0.42,0.14,0.56,0.42,0.56,0.48,0.11,0.59,0.48,0.59,Matches,3a24769f
214,Aymen Barkok,ma MAR,MF,Mainz 05,de Bundesliga,24-291,1998,14,2,343,3.8,0,1,1,0,0,0,1,0,0.4,0.4,0.3,0.8,11,22,18,0.00,0.26,0.26,0.00,0.26,0.11,0.09,0.20,0.11,0.20,Matches,a2a85828
215,Harvey Barnes,eng ENG,MFFW,Leicester City,eng Premier League,25-089,1997,23,23,1921,21.3,8,1,9,8,0,0,2,0,6.5,6.5,1.6,8.1,67,51,195,0.37,0.05,0.42,0.37,0.42,0.30,0.08,0.38,0.30,0.38,Matches,3ea50f67
216,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,23-064,2000,21,15,1353,15.0,2,2,4,2,0,0,4,0,2.0,1.9,1.9,3.8,10,38,29,0.13,0.13,0.27,0.13,0.27,0.13,0.13,0.26,0.12,0.25,Matches,00242b75
217,Enzo Barrenechea,ar ARG,MF,Juventus,it Serie A,21-290,2001,1,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches,6caffe81
218,Ander Barrenetxea,es ESP,DFFW,Real Sociedad,es La Liga,21-071,2001,10,5,404,4.5,1,0,1,1,0,0,3,0,0.8,0.8,0.0,0.8,6,13,14,0.22,0.00,0.22,0.22,0.22,0.17,0.01,0.17,0.17,0.17,Matches,200e89e1
219,Mickaël Barreto,fr FRA,MF,Ajaccio,fr Ligue 1,32-049,1991,10,5,535,5.9,0,1,1,0,0,0,1,0,0.3,0.3,1.3,1.6,13,31,31,0.00,0.17,0.17,0.00,0.17,0.04,0.22,0.27,0.04,0.27,Matches,e3844ecb
220,Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,19-266,2003,9,5,418,4.6,0,1,1,0,0,0,1,0,0.3,0.3,0.6,0.9,10,29,19,0.00,0.22,0.22,0.00,0.22,0.07,0.12,0.19,0.07,0.19,Matches,45736cec
221,Musa Barrow,gm GAM,FWMF,Bologna,it Serie A,24-114,1998,19,13,1044,11.6,2,2,4,2,0,0,2,0,1.7,1.7,2.6,4.3,29,21,61,0.17,0.17,0.34,0.17,0.34,0.15,0.22,0.37,0.15,0.37,Matches,e5bf73f3
222,Federico Baschirotto,it ITA,DF,Lecce,it Serie A,26-169,1996,24,24,2160,24.0,3,0,3,3,0,0,5,0,1.5,1.5,0.3,1.8,8,60,8,0.12,0.00,0.12,0.12,0.12,0.06,0.01,0.07,0.06,0.07,Matches,5a08ee41
223,Toma Bašić,hr CRO,MF,Lazio,it Serie A,26-103,1996,16,4,393,4.4,0,0,0,0,0,0,1,0,0.5,0.5,0.3,0.8,11,14,17,0.00,0.00,0.00,0.00,0.00,0.12,0.06,0.18,0.12,0.18,Matches,80556f08
224,Gil Bastião Dias,pt POR,FW,Stuttgart,de Bundesliga,26-161,1996,5,4,275,3.1,1,0,1,1,0,0,0,0,0.4,0.4,0.7,1.1,11,11,25,0.33,0.00,0.33,0.33,0.33,0.14,0.22,0.36,0.14,0.36,Matches,e61bdd69
225,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,23-329,1999,20,18,1537,17.1,0,2,2,0,0,0,2,0,0.8,0.8,1.6,2.5,32,111,33,0.00,0.12,0.12,0.00,0.12,0.05,0.10,0.14,0.05,0.14,Matches,75b86fb3
226,Simone Bastoni,it ITA,MFDF,Spezia,it Serie A,26-123,1996,13,12,946,10.5,2,2,4,2,0,0,4,0,1.1,1.1,0.9,2.0,12,24,55,0.19,0.19,0.38,0.19,0.38,0.10,0.09,0.19,0.10,0.19,Matches,1ac232b8
227,Rodrigo Battaglia,ar ARG,MF,Mallorca,es La Liga,31-239,1991,14,8,677,7.5,0,0,0,0,0,0,5,0,0.2,0.2,0.0,0.2,3,19,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,d637fc22
228,Maximilian Bauer,de GER,DF,Augsburg,de Bundesliga,23-027,2000,17,12,1098,12.2,0,0,0,0,0,0,6,0,1.6,1.6,0.3,1.9,7,25,2,0.00,0.00,0.00,0.00,0.00,0.13,0.02,0.16,0.13,0.16,Matches,44a20f0c
229,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,32-279,1990,23,23,2070,23.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,47064058
230,Timo Baumgartl,de GER,DF,Union Berlin,de Bundesliga,27-004,1996,5,5,404,4.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,21,2,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06,Matches,bd7d2e6d
231,Julian Baumgartlinger,at AUT,MF,Augsburg,de Bundesliga,35-065,1988,10,2,356,4.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,17,0,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches,69374ff5
232,Christoph Baumgartner,at AUT,MFFW,Hoffenheim,de Bundesliga,23-219,1999,23,23,1842,20.5,5,3,8,5,0,0,5,0,5.2,5.2,3.9,9.1,57,81,115,0.24,0.15,0.39,0.24,0.39,0.26,0.19,0.45,0.26,0.45,Matches,437f2b00
233,Cyrille Bayala,bf BFA,MF,Ajaccio,fr Ligue 1,26-288,1996,25,19,1520,16.9,1,1,2,1,0,0,3,0,2.1,2.1,1.8,3.8,41,52,87,0.06,0.06,0.12,0.06,0.12,0.12,0.10,0.23,0.12,0.23,Matches,20e0dd86
234,Brian Bayeye,fr FRA,DF,Torino,it Serie A,22-251,2000,1,1,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,78e6bf2c
235,Noah Joel Sarenren Bazee,ng NGA,FW,Augsburg,de Bundesliga,26-199,1996,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.60,0.00,0.60,Matches,fbbc8e15
236,Gavin Bazunu,ie IRL,GK,Southampton,eng Premier League,21-016,2002,25,25,2250,25.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c91441dc
237,Bebé,cv CPV,FW,Rayo Vallecano,es La Liga,32-239,1990,4,0,60,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,1,10,0.00,0.00,0.00,0.00,0.00,0.12,0.13,0.25,0.12,0.25,Matches,d8712bf9
238,Ihlas Bebou,tg TOG,FW,Hoffenheim,de Bundesliga,28-319,1994,8,6,469,5.2,2,0,2,2,0,0,0,0,1.6,1.6,0.2,1.8,8,6,36,0.38,0.00,0.38,0.38,0.38,0.31,0.04,0.35,0.31,0.35,Matches,a53b661f
239,Rodrigo Becão,br BRA,DF,Udinese,it Serie A,27-048,1996,19,19,1682,18.7,1,1,2,1,0,0,8,0,1.0,1.0,0.5,1.6,6,66,34,0.05,0.05,0.11,0.05,0.11,0.05,0.03,0.08,0.05,0.08,Matches,19e4eab9
240,Mads Bech Sørensen,dk DEN,DFMF,Brentford,eng Premier League,24-060,1999,4,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,30db8574
241,Julius Beck,dk DEN,MF,Spezia,it Serie A,17-315,2005,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e892c325
242,Sheraldo Becker,sr SUR,FW,Union Berlin,de Bundesliga,28-027,1995,23,22,1638,18.2,7,4,11,7,0,0,1,0,2.8,2.8,3.0,5.8,56,26,130,0.38,0.22,0.60,0.38,0.60,0.15,0.16,0.32,0.15,0.32,Matches,8eb55dbb
