Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
1936,Miloš Pantović,rs SRB,MF,Union Berlin,de Bundesliga,26-245,1996,2.0,90,4,26,33,31,7,89,1,0,0.0,0,0.0,44,145,58,1,0,0,2,2,55,3,Matches,5dc15574
1937,Flavio Paoletti,it ITA,MF,Sampdoria,it Serie A,20-052,2003,1.0,57,4,13,32,12,0,57,1,1,100.0,0,0.0,34,225,117,4,3,0,1,0,35,3,Matches,3d6cee81
1938,Antonios Papadopoulos,de GER,DF,Dortmund,de Bundesliga,23-180,1999,0.1,21,0,8,12,1,1,21,0,0,,0,,14,97,56,1,0,0,0,0,17,0,Matches,13d23b29
1939,Lucas Paquetá,br BRA,MF,West Ham,eng Premier League,25-194,1997,13.8,835,33,156,454,236,30,834,25,11,44.0,9,36.0,433,1795,630,9,18,3,26,20,553,40,Matches,9b6f7fd5
1940,Lucas Paquetá,br BRA,MF,Lyon,fr Ligue 1,25-194,1997,1.8,146,5,22,92,33,8,146,3,1,33.3,2,66.7,121,584,203,3,2,2,2,1,117,10,Matches,9b6f7fd5
1941,Aitor Paredes,es ESP,DF,Athletic Club,es La Liga,22-314,2000,2.6,156,11,59,89,10,5,156,0,0,,0,,98,447,232,2,1,0,2,0,92,1,Matches,b906757a
1942,Kevin Paredes,us USA,FWMF,Wolfsburg,de Bundesliga,19-306,2003,3.5,144,4,24,57,65,7,144,3,1,33.3,2,66.7,89,561,348,12,4,2,5,1,92,20,Matches,5c50fdbc
1943,Leandro Paredes,ar ARG,MF,Juventus,it Serie A,28-253,1994,6.6,482,20,129,267,87,4,482,4,2,50.0,1,25.0,241,918,513,7,4,2,4,2,330,8,Matches,dff153a4
1944,Leandro Paredes,ar ARG,MF,Paris S-G,fr Ligue 1,28-253,1994,0.6,75,2,10,57,8,0,75,0,0,,0,,64,320,203,1,3,0,0,0,62,0,Matches,dff153a4
1945,Daniel Parejo,es ESP,MF,Villarreal,es La Liga,33-327,1989,23.5,1804,69,358,1032,433,7,1803,23,17,73.9,5,21.7,1007,4229,2081,23,35,0,20,20,1227,22,Matches,7460ca0d
1946,Fabiano Parisi,it ITA,DF,Empoli,it Serie A,22-120,2000,20.7,1358,105,480,588,321,14,1358,69,35,50.7,26,37.7,729,4536,2605,61,49,6,38,26,725,41,Matches,0967845b
1947,Moises Parra Gutierrez,es ESP,FW,Getafe,es La Liga,20-258,2002,0.1,6,0,1,2,3,0,6,0,0,,0,,1,2,1,0,0,0,0,0,1,0,Matches,e2dcc60e
1948,Raúl Parra,es ESP,DFMF,Cádiz,es La Liga,23-103,1999,0.4,15,4,9,6,0,0,15,0,0,,0,,4,26,8,0,0,0,0,0,4,1,Matches,647d39d2
1949,Thomas Partey,gh GHA,MF,Arsenal,eng Premier League,29-269,1993,18.7,1581,50,285,985,324,18,1581,26,18,69.2,6,23.1,961,4627,2456,21,24,1,24,15,1155,20,Matches,529f49ab
1950,Marco Pašalić,hr CRO,MF,Dortmund,de Bundesliga,22-176,2000,0.1,9,0,2,3,5,0,9,1,1,100.0,0,0.0,7,60,53,2,1,0,1,1,8,2,Matches,1866b0f1
1951,Mario Pašalić,hr CRO,MFFW,Atalanta,it Serie A,28-028,1995,11.7,519,10,82,283,157,33,519,11,3,27.3,6,54.5,313,1406,512,11,7,1,20,17,382,51,Matches,e599253a
1952,Felix Passlack,de GER,DF,Dortmund,de Bundesliga,24-284,1998,0.5,30,0,6,17,8,1,30,1,1,100.0,0,0.0,17,49,34,1,1,0,1,0,18,3,Matches,5c899683
1953,Javier Pastore,ar ARG,MF,Elche,es La Liga,33-262,1989,0.1,10,0,0,3,7,2,10,0,0,,0,,9,91,27,2,1,0,1,1,9,2,Matches,881ef58c
1954,Patric,es ESP,DF,Lazio,it Serie A,29-326,1993,11.9,869,163,526,343,5,0,869,2,1,50.0,1,50.0,448,2065,782,0,0,0,3,0,574,2,Matches,f7223718
1955,Rui Patrício,pt POR,GK,Roma,it Serie A,35-022,1988,25.0,668,607,666,2,0,0,668,0,0,,0,,358,2052,1108,0,0,0,1,0,267,0,Matches,79b0d6a0
1956,Nathan Patterson,sct SCO,DFMF,Everton,eng Premier League,21-144,2001,11.0,661,49,233,240,195,16,661,20,9,45.0,10,50.0,270,1600,655,13,11,2,19,9,344,42,Matches,230f0471
1957,Paulinho,br BRA,FW,Leverkusen,de Bundesliga,22-237,2000,0.9,38,2,4,18,17,3,38,4,2,50.0,2,50.0,22,175,58,3,2,3,2,1,26,8,Matches,53070b63
1958,Gabriel Paulista,br BRA,DF,Valencia,es La Liga,32-103,1990,9.7,642,115,336,283,26,15,642,0,0,,0,,310,1867,1364,7,6,0,4,1,370,0,Matches,b7ca5c51
1959,Benjamin Pavard,fr FRA,DF,Bayern Munich,de Bundesliga,26-346,1996,17.4,1714,101,647,819,252,25,1714,4,0,0.0,1,25.0,1041,4377,2277,26,16,2,8,2,1208,55,Matches,45a03961
1960,Jiří Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,30-329,1992,22.3,891,786,887,4,0,0,891,1,0,0.0,1,100.0,460,2641,1418,0,2,2,1,0,370,0,Matches,0a1cb833
1961,Dimitri Payet,fr FRA,MFFW,Marseille,fr Ligue 1,35-345,1987,7.9,471,4,45,191,241,30,470,21,9,42.9,10,47.6,369,2068,1011,20,15,6,14,7,360,67,Matches,58ae47b2
1962,Ben Pearson,eng ENG,MF,Bournemouth,eng Premier League,28-064,1995,3.2,162,8,56,90,17,0,162,1,0,0.0,0,0.0,72,242,103,2,0,0,6,0,100,4,Matches,a6b461e7
1963,Kristian Pedersen,dk DEN,DF,Köln,de Bundesliga,28-217,1994,3.0,201,22,91,82,29,2,201,6,2,33.3,4,66.7,81,478,221,6,0,0,1,1,96,2,Matches,5154b2ba
1964,Mads Pedersen,dk DEN,DFMF,Augsburg,de Bundesliga,26-189,1996,12.5,592,44,202,233,167,9,592,16,5,31.3,11,68.8,219,1319,570,18,16,5,22,10,227,35,Matches,582a5247
1965,Alfonso Pedraza,es ESP,DF,Villarreal,es La Liga,26-334,1996,9.8,523,21,137,172,222,28,523,29,13,44.8,12,41.4,272,2087,1172,30,23,9,15,11,305,78,Matches,63f04c6c
1966,Pedri,es ESP,MF,Barcelona,es La Liga,20-104,2002,18.1,1342,11,132,771,454,44,1342,44,27,61.4,16,36.4,954,5455,2727,50,69,11,29,23,1066,72,Matches,0d9b2d31
1967,Pedro,es ESP,FW,Lazio,it Serie A,35-224,1987,14.3,802,8,110,394,306,57,802,47,21,44.7,20,42.6,523,3055,1480,48,35,16,29,22,650,103,Matches,3ca7254a
1968,Jordan Pefok,us USA,FW,Union Berlin,de Bundesliga,26-317,1996,12.1,382,20,46,153,185,57,380,8,2,25.0,6,75.0,159,514,144,4,3,1,30,20,255,45,Matches,b684a484
1969,Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,41-349,1981,2.0,81,71,81,0,0,0,81,0,0,,0,,46,198,122,0,0,0,0,0,43,0,Matches,f058ed1f
1970,Peter Pekarík,sk SVK,DF,Hertha BSC,de Bundesliga,36-130,1986,1.0,51,4,24,20,7,0,51,0,0,,0,,19,136,56,1,0,0,0,0,19,1,Matches,c18d22f5
1971,Pietro Pellegri,it ITA,FW,Torino,it Serie A,21-357,2001,4.1,111,1,6,43,62,12,111,9,1,11.1,6,66.7,68,330,61,2,1,1,17,15,86,25,Matches,a44d3a3c
1972,Lorenzo Pellegrini,it ITA,MF,Roma,it Serie A,26-263,1996,19.5,1030,17,134,558,347,37,1027,53,21,39.6,26,49.1,556,3440,1462,45,29,4,39,20,671,81,Matches,4a5a45c7
1973,Luca Pellegrini,it ITA,DF,Eint Frankfurt,de Bundesliga,24-002,1999,6.2,514,11,127,224,170,10,514,26,11,42.3,12,46.2,240,1188,674,19,17,2,7,5,267,28,Matches,3b61c9ec
1974,Facundo Pellistri,uy URU,FW,Manchester Utd,eng Premier League,21-079,2001,0.4,9,0,1,3,5,0,9,0,0,,0,,9,83,11,0,0,0,1,0,10,2,Matches,ac7e7b1c
1975,Timothee Pembele,fr FRA,DF,Paris S-G,fr Ligue 1,20-181,2002,1.6,66,5,16,30,20,5,66,4,3,75.0,1,25.0,41,223,129,2,3,2,2,0,39,8,Matches,f8ce97ca
1976,Rubén Peña,es ESP,DFMF,Osasuna,es La Liga,31-234,1991,7.3,390,13,93,177,124,14,390,13,6,46.2,6,46.2,196,1188,642,17,13,3,17,6,207,37,Matches,1f079188
1977,Patrick Pentz,at AUT,GK,Reims,fr Ligue 1,26-066,1997,7.0,221,191,221,0,0,0,221,0,0,,0,,144,845,503,0,1,1,0,0,91,0,Matches,0810b6df
1978,Nicolas Pépé,ci CIV,FWMF,Nice,fr Ligue 1,27-284,1995,13.6,703,2,70,315,334,65,700,63,25,39.7,28,44.4,578,3514,1480,40,26,20,35,40,559,108,Matches,57e3f0c7
1979,Ricardo Pepi,us USA,FW,Augsburg,de Bundesliga,20-059,2003,1.1,40,1,6,21,14,2,40,5,3,60.0,2,40.0,19,144,57,2,2,1,4,0,22,4,Matches,a2b1ed42
1980,Pepín,gq EQG,MF,Monza,it Serie A,26-207,1996,8.4,522,13,87,310,130,9,522,12,5,41.7,6,50.0,316,1861,859,14,18,3,8,8,379,24,Matches,7afb1573
1981,Alberto Perea,es ESP,MF,Cádiz,es La Liga,32-080,1990,0.5,20,0,7,6,7,0,20,6,2,33.3,3,50.0,5,36,7,0,0,0,0,1,13,2,Matches,5496cc91
1982,Juan Perea,co COL,FW,Stuttgart,de Bundesliga,23-014,2000,3.0,110,3,14,49,47,7,110,14,5,35.7,9,64.3,69,598,157,8,5,2,13,8,73,25,Matches,ff3d391c
1983,Andreas Pereira,br BRA,MF,Fulham,eng Premier League,27-067,1996,24.1,1032,13,82,485,478,47,1031,37,12,32.4,20,54.1,563,3133,1394,44,37,9,42,42,665,106,Matches,6639e500
1984,Brayann Pereira,fr FRA,DF,Auxerre,fr Ligue 1,19-292,2003,2.0,112,10,40,39,34,1,112,13,6,46.2,5,38.5,73,344,136,4,2,1,6,0,66,8,Matches,5c42e7ce
1985,Danilo Pereira,pt POR,DFMF,Paris S-G,fr Ligue 1,31-181,1991,15.2,1206,103,357,773,85,18,1206,6,4,66.7,2,33.3,951,4770,2361,13,11,1,8,6,889,6,Matches,8fd9996f
1986,Mathias Pereira Lage,pt POR,MFFW,Brest,fr Ligue 1,26-099,1996,12.0,463,14,72,236,163,35,463,19,7,36.8,10,52.6,334,1933,802,17,10,7,21,16,308,80,Matches,8846a40f
1987,Ricardo Pereira,pt POR,DFFW,Leicester City,eng Premier League,29-154,1993,1.1,95,1,26,49,23,1,95,4,3,75.0,1,25.0,63,224,101,2,5,0,2,1,60,4,Matches,75a72a99
1988,Roberto Pereyra,ar ARG,DFMF,Udinese,it Serie A,32-061,1991,19.6,1037,32,208,427,421,83,1037,61,22,36.1,31,50.8,632,3800,1814,48,31,13,27,22,697,140,Matches,75f2c59f
1989,Ayoze Pérez,es ESP,MFFW,Leicester City,eng Premier League,29-223,1993,4.2,244,3,38,104,108,17,244,21,6,28.6,12,57.1,132,696,356,17,6,6,12,11,155,43,Matches,819aa8e7
1990,Ayoze Pérez,es ESP,FW,Betis,es La Liga,29-223,1993,3.1,131,0,9,49,75,19,131,12,4,33.3,8,66.7,70,443,188,10,5,5,11,3,83,21,Matches,819aa8e7
1991,Carles Pérez,es ESP,MFFW,Celta Vigo,es La Liga,25-021,1998,13.3,545,11,61,207,285,43,545,43,17,39.5,22,51.2,365,2904,1432,46,38,24,34,20,395,95,Matches,a8f21b9f
1992,Francisco Perez,es ESP,FWMF,Valencia,es La Liga,20-181,2002,1.0,76,1,12,33,32,3,76,7,4,57.1,3,42.9,58,409,140,3,2,3,4,5,59,12,Matches,3d79a68c
1993,Kike Pérez,es ESP,MF,Valladolid,es La Liga,26-023,1997,17.0,1060,36,228,582,275,33,1060,44,21,47.7,18,40.9,623,3761,2011,39,25,7,32,19,700,50,Matches,237a3851
1994,Lucas Pérez,es ESP,FW,Cádiz,es La Liga,34-180,1988,7.0,286,3,25,121,140,16,286,9,3,33.3,6,66.7,151,741,331,8,6,3,11,8,184,24,Matches,a300ac7e
1995,Luis Pérez,es ESP,DF,Valladolid,es La Liga,28-033,1995,9.8,553,27,165,254,141,2,553,18,7,38.9,10,55.6,274,1464,714,20,14,0,11,5,299,53,Matches,b7c04927
1996,Nehuén Pérez,ar ARG,DF,Udinese,it Serie A,22-258,2000,20.4,1458,147,656,681,130,19,1458,9,4,44.4,5,55.6,839,4392,2652,21,18,0,12,9,933,24,Matches,f7c491f1
1997,Simone Perilli,it ITA,GK,Hellas Verona,it Serie A,28-061,1995,1.0,38,35,38,0,0,0,38,0,0,,0,,19,135,100,0,0,0,0,0,9,0,Matches,b9e11c1d
1998,Mattia Perin,it ITA,GK,Juventus,it Serie A,30-119,1992,7.5,286,263,283,3,0,0,286,0,0,,0,,178,923,658,0,0,0,0,0,143,0,Matches,4c62d0c8
1999,Samuele Perisan,it ITA,GK,Empoli,it Serie A,25-200,1997,1.0,25,20,25,0,0,0,25,0,0,,0,,14,76,46,0,0,0,0,0,8,0,Matches,00a17eba
2000,Ivan Perišić,hr CRO,DFMF,Tottenham,eng Premier League,34-035,1989,16.9,979,41,236,333,417,67,979,26,8,30.8,15,57.7,447,2636,1388,66,18,26,26,10,534,137,Matches,6fe90922
2001,Romain Perraud,fr FRA,DF,Southampton,eng Premier League,25-168,1997,14.9,806,31,232,285,295,31,806,27,6,22.2,19,70.4,420,2145,825,22,26,5,21,10,435,86,Matches,6dfd8f05
2002,Gaëtan Perrin,fr FRA,MFFW,Auxerre,fr Ligue 1,26-275,1996,10.7,444,13,78,209,167,24,443,54,32,59.3,20,37.0,342,2684,1283,34,26,7,34,31,321,70,Matches,10dd88f9
2003,Lucas Perrin,fr FRA,DF,Strasbourg,fr Ligue 1,24-110,1998,12.2,647,65,298,290,61,11,647,3,2,66.7,1,33.3,437,2590,1523,10,5,0,3,3,388,12,Matches,49070d66
2004,Máximo Perrone,ar ARG,MF,Manchester City,eng Premier League,20-061,2003,0.2,22,0,4,12,6,2,22,0,0,,0,,9,21,8,0,0,0,0,0,19,1,Matches,53552942
2005,Matteo Pessina,it ITA,MF,Monza,it Serie A,25-322,1997,20.9,1464,47,314,815,351,36,1462,38,23,60.5,12,31.6,871,5129,2453,56,30,5,46,27,1049,63,Matches,780e3631
2006,Andrea Petagna,it ITA,FW,Monza,it Serie A,27-252,1995,12.1,446,14,35,227,188,66,445,28,16,57.1,10,35.7,266,1647,431,16,10,8,46,31,340,86,Matches,03f946ed
2007,Nils Petersen,de GER,FW,Freiburg,de Bundesliga,34-093,1988,2.3,90,8,14,31,45,11,90,2,0,0.0,2,100.0,36,107,32,1,1,1,9,2,57,10,Matches,f93e6e94
2008,Lukas Petkov,de GER,MFFW,Augsburg,de Bundesliga,22-128,2000,1.6,62,3,16,28,18,7,62,4,1,25.0,3,75.0,20,97,16,1,0,0,6,3,26,2,Matches,f503ef6e
2009,Germán Pezzella,ar ARG,DF,Betis,es La Liga,31-255,1991,17.9,1051,128,579,448,33,16,1051,1,0,0.0,0,0.0,556,2184,1035,2,3,0,8,1,676,2,Matches,8c725b43
2010,Giuseppe Pezzella,it ITA,DF,Lecce,it Serie A,25-100,1997,8.2,524,34,189,196,143,5,524,14,4,28.6,7,50.0,248,1535,816,18,14,1,11,9,257,30,Matches,149c5f5d
2011,Luca Pfeiffer,de GER,FW,Stuttgart,de Bundesliga,26-201,1996,7.4,243,5,15,148,82,27,243,5,2,40.0,3,60.0,130,523,228,8,7,1,13,5,186,38,Matches,83e1f40e
2012,Maximilian Philipp,de GER,FW,Wolfsburg,de Bundesliga,29-008,1994,1.3,51,0,3,19,29,4,51,2,0,0.0,2,100.0,31,113,31,3,0,2,1,1,34,6,Matches,061e8e23
2013,Maximilian Philipp,de GER,MFFW,Werder Bremen,de Bundesliga,29-008,1994,0.6,29,0,7,11,12,0,29,2,1,50.0,1,50.0,20,91,26,1,2,0,2,1,19,4,Matches,061e8e23
2014,Kalvin Phillips,eng ENG,MF,Manchester City,eng Premier League,27-097,1995,0.7,78,7,22,46,11,3,78,0,0,,0,,35,142,50,0,0,0,1,0,51,1,Matches,4f565d77
2015,Nathaniel Phillips,eng ENG,DF,Liverpool,eng Premier League,25-353,1997,0.7,89,3,26,63,2,1,89,0,0,,0,,69,574,393,0,1,0,2,0,60,0,Matches,515ebe8d
2016,Krzysztof Piątek,pl POL,FW,Salernitana,it Serie A,27-251,1995,16.0,583,27,58,291,239,57,582,12,6,50.0,4,33.3,303,1346,417,22,10,10,52,26,420,86,Matches,17f3620a
2017,Roberto Piccoli,it ITA,FW,Hellas Verona,it Serie A,22-041,2001,2.1,55,3,8,16,31,11,55,3,1,33.3,2,66.7,36,197,70,2,3,1,7,4,41,8,Matches,1cadaf34
2018,Roberto Piccoli,it ITA,FWMF,Empoli,it Serie A,22-041,2001,1.5,44,2,6,12,27,8,44,10,4,40.0,5,50.0,26,136,48,2,0,0,3,3,31,12,Matches,1cadaf34
2019,Charles Pickel,ch SUI,MF,Cremonese,it Serie A,25-298,1997,19.0,898,38,193,503,207,32,898,9,1,11.1,7,77.8,413,1514,675,10,18,1,24,14,496,41,Matches,f71ad8cb
2020,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,29-002,1994,25.0,980,731,956,25,0,0,980,0,0,,0,,522,3303,2183,0,0,0,1,1,404,0,Matches,4806ec67
2021,Amos Pieper,de GER,DF,Werder Bremen,de Bundesliga,25-051,1998,18.5,1226,110,542,624,64,19,1226,2,1,50.0,0,0.0,650,3249,1627,13,9,0,8,5,760,2,Matches,526ea7cc
2022,Ronaël Pierre-Gabriel,fr FRA,DF,Espanyol,es La Liga,24-269,1998,1.6,94,6,35,32,28,3,94,5,2,40.0,2,40.0,41,276,162,4,4,0,4,2,46,9,Matches,64ba07c0
2023,Ronaël Pierre-Gabriel,fr FRA,DF,Strasbourg,fr Ligue 1,24-269,1998,7.3,464,34,132,220,114,9,464,16,11,68.8,5,31.3,289,1665,774,16,17,1,10,6,252,35,Matches,64ba07c0
2024,Andrea Pinamonti,it ITA,FW,Sassuolo,it Serie A,23-294,1999,16.4,508,9,19,239,255,84,507,24,9,37.5,13,54.2,254,1018,283,10,6,6,37,42,387,112,Matches,08aa9cd1
2025,Ethan Pinnock,jm JAM,DF,Brentford,eng Premier League,29-284,1993,16.0,812,181,492,260,63,31,812,2,1,50.0,0,0.0,302,1251,706,1,2,0,2,6,358,9,Matches,e541326e
2026,Yeremi Pino,es ESP,MFFW,Villarreal,es La Liga,20-140,2002,15.5,670,15,99,247,330,77,670,35,18,51.4,12,34.3,421,2067,948,32,15,15,39,29,488,147,Matches,540ec57b
2027,Gerard Piqué,es ESP,DF,Barcelona,es La Liga,36-035,1987,4.3,424,38,126,290,9,5,424,1,1,100.0,0,0.0,284,1789,1197,3,2,0,2,1,320,1,Matches,adfc9123
2028,Lorenzo Pirola,it ITA,DF,Salernitana,it Serie A,21-017,2002,10.3,579,74,335,223,24,7,579,3,1,33.3,2,66.7,269,1145,578,8,6,0,3,0,341,1,Matches,caec77da
2029,Marko Pjaca,hr CRO,MFFW,Empoli,it Serie A,27-307,1995,4.9,267,1,23,129,116,14,267,30,14,46.7,13,43.3,160,1043,510,18,7,8,12,14,208,25,Matches,2c38b327
2030,Óscar Plano,es ESP,FWMF,Valladolid,es La Liga,32-026,1991,17.7,711,25,123,332,263,35,711,19,9,47.4,9,47.4,399,1903,790,24,22,3,31,20,463,78,Matches,7c388b20
2031,Gonzalo Plata,ec ECU,FWMF,Valladolid,es La Liga,22-128,2000,13.7,657,7,109,240,319,60,657,87,29,33.3,50,57.5,392,2984,1321,53,33,28,36,25,428,120,Matches,54bcdeb0
2032,Marvin Plattenhardt,de GER,DF,Hertha BSC,de Bundesliga,31-042,1992,17.6,996,52,274,469,260,7,996,15,2,13.3,9,60.0,413,1670,876,17,18,4,10,6,453,39,Matches,f7aa75bd
2033,Alassane Pléa,fr FRA,FW,M'Gladbach,de Bundesliga,29-364,1993,14.5,710,13,62,337,318,43,709,22,12,54.5,9,40.9,418,2133,993,28,27,10,33,19,549,122,Matches,bc6bd723
2034,Tommaso Pobega,it ITA,MF,Milan,it Serie A,23-237,1999,6.4,282,9,59,153,70,11,282,4,2,50.0,2,50.0,111,585,274,7,8,0,8,3,168,17,Matches,55a1cac2
2035,Daniel Podence,pt POR,FWMF,Wolves,eng Premier League,27-139,1995,15.4,718,10,98,267,363,59,718,44,15,34.1,27,61.4,424,2050,934,32,20,15,40,26,499,118,Matches,7fcc71d8
2036,Paul Pogba,fr FRA,MFDF,Juventus,it Serie A,29-359,1993,0.4,25,0,0,15,10,4,25,0,0,,0,,14,42,18,1,1,1,2,1,20,5,Matches,867239d3
2037,Joel Pohjanpalo,fi FIN,FWMF,Leverkusen,de Bundesliga,28-177,1994,0.0,1,0,0,1,0,0,1,0,0,,0,,1,6,2,0,0,0,0,0,1,0,Matches,ea003d07
2038,Matteo Politano,it ITA,FW,Napoli,it Serie A,29-218,1993,10.0,606,8,86,198,328,47,603,44,18,40.9,20,45.5,395,2974,1626,64,29,23,23,11,454,112,Matches,5e861944
2039,Sebastian Polter,de GER,FWMF,Schalke 04,de Bundesliga,31-342,1991,5.2,169,8,21,78,73,31,169,4,2,50.0,2,50.0,76,283,82,2,2,2,22,9,118,29,Matches,3745e8bd
2040,Ezequiel Ponce,ar ARG,FWMF,Elche,es La Liga,25-345,1997,10.5,361,16,34,204,128,41,361,14,5,35.7,7,50.0,212,816,243,9,5,5,27,24,268,43,Matches,ccbbe661
2041,Julien Ponceau,fr FRA,MF,Lorient,fr Ligue 1,22-101,2000,14.8,768,16,106,392,281,43,768,29,9,31.0,17,58.6,584,3633,1676,44,39,7,31,16,543,94,Matches,e546b2e3
2042,Marin Pongračić,hr CRO,DF,Lecce,it Serie A,25-179,1997,8.8,435,48,232,201,11,4,435,2,2,100.0,0,0.0,223,1491,754,3,1,0,5,0,210,1,Matches,2a6cd437
2043,Nick Pope,eng ENG,GK,Newcastle Utd,eng Premier League,30-324,1992,23.2,652,545,646,6,0,0,652,0,0,,0,,344,2065,1258,0,0,0,1,0,232,0,Matches,4b40d9ca
2044,Łukasz Poręba,pl POL,MF,Lens,fr Ligue 1,22-361,2000,2.7,156,3,17,83,56,1,156,2,1,50.0,1,50.0,116,577,206,3,8,0,5,1,110,18,Matches,be98f358
2045,Jackson Porozo,ec ECU,DF,Troyes,fr Ligue 1,22-217,2000,16.4,775,106,422,314,45,19,775,11,7,63.6,4,36.4,480,2390,1099,5,4,1,8,5,449,3,Matches,7d704e92
2046,Pedro Porro,es ESP,DF,Tottenham,eng Premier League,23-177,1999,1.7,99,4,27,41,31,2,99,11,3,27.3,7,63.6,50,294,164,5,1,0,4,2,52,12,Matches,27d0a506
2047,Francisco Portillo,es ESP,FWMF,Almería,es La Liga,32-269,1990,4.0,278,4,49,142,87,7,278,6,2,33.3,4,66.7,180,837,388,6,10,0,6,9,205,28,Matches,8e010ff4
2048,Portu,es ESP,DFMF,Getafe,es La Liga,30-292,1992,11.7,569,8,112,243,217,21,569,27,8,29.6,13,48.1,285,1573,851,29,17,4,21,4,332,78,Matches,1bda5842
2049,Stefan Posch,at AUT,DF,Bologna,it Serie A,25-299,1997,17.1,1263,72,508,560,207,19,1263,12,3,25.0,8,66.7,618,3221,1809,28,24,2,26,7,755,38,Matches,7f609bfc
2050,Stefan Posch,at AUT,DF,Hoffenheim,de Bundesliga,25-299,1997,0.2,12,2,7,5,0,0,12,0,0,,0,,6,23,11,0,0,0,0,0,7,0,Matches,7f609bfc
2051,Yussuf Poulsen,dk DEN,FW,RB Leipzig,de Bundesliga,28-267,1994,3.0,125,4,8,67,51,19,125,5,3,60.0,2,40.0,82,343,159,2,1,0,22,6,109,25,Matches,d2416c2e
2052,José Pozo,es ESP,MF,Rayo Vallecano,es La Liga,26-359,1996,0.8,58,1,5,24,31,3,58,5,1,20.0,4,80.0,42,258,98,4,2,1,5,3,44,7,Matches,fc8b614b
2053,Alejandro Pozo Pozo,es ESP,DF,Almería,es La Liga,24-015,1999,11.5,783,34,260,338,192,19,783,8,4,50.0,4,50.0,368,1560,796,24,20,5,18,8,433,61,Matches,3c16d927
2054,Dennis Praet,be BEL,MFFW,Leicester City,eng Premier League,28-299,1994,5.7,270,10,49,130,96,10,270,11,5,45.5,6,54.5,146,787,301,13,6,1,7,8,172,35,Matches,86695068
2055,Abdón Prats,es ESP,FWMF,Mallorca,es La Liga,30-092,1992,2.4,87,2,5,49,33,11,87,4,1,25.0,2,50.0,49,172,46,1,1,3,6,8,63,6,Matches,d1b060e2
2056,Sanjin Prcić,ba BIH,MF,Strasbourg,fr Ligue 1,29-109,1993,16.4,1054,48,271,601,194,6,1054,16,10,62.5,5,31.3,756,3847,1504,8,30,1,8,7,670,8,Matches,51c30111
2057,Isaac Price,nir NIR,MF,Everton,eng Premier League,19-164,2003,0.4,17,1,5,10,2,0,17,1,1,100.0,0,0.0,10,40,12,1,0,0,1,0,13,0,Matches,b9403c99
2058,Grischa Prömel,de GER,MF,Hoffenheim,de Bundesliga,28-059,1995,11.9,486,23,116,242,131,32,486,7,2,28.6,4,57.1,243,1216,532,14,9,3,18,10,290,33,Matches,924f9191
2059,Ivan Provedel,it ITA,GK,Lazio,it Serie A,28-357,1994,24.9,964,826,961,5,0,0,964,1,1,100.0,0,0.0,585,3150,1929,0,0,0,0,0,521,0,Matches,277da414
2060,Javi Puado,es ESP,FWMF,Espanyol,es La Liga,24-288,1998,16.2,503,11,76,196,245,62,503,31,12,38.7,16,51.6,319,2085,895,33,21,12,55,18,347,73,Matches,2683eda7
2061,Mehdi Puch Herrantz,fr FRA,MF,Ajaccio,fr Ligue 1,19-048,2004,0.3,24,0,3,10,11,2,24,0,0,,0,,13,77,42,2,1,2,3,1,16,1,Matches,7be7c08b
2062,Tymoteusz Puchacz,pl POL,DF,Union Berlin,de Bundesliga,24-045,1999,0.6,44,1,5,19,20,0,44,2,0,0.0,1,50.0,21,82,31,0,0,0,4,0,24,9,Matches,c68b1b13
2063,Arnau Puigmal,es ESP,MFDF,Almería,es La Liga,22-058,2001,3.6,190,2,36,78,78,11,190,10,3,30.0,6,60.0,107,719,363,14,7,5,8,5,115,24,Matches,39352da2
2064,Christian Pulisic,us USA,FWDF,Chelsea,eng Premier League,24-172,1998,6.8,328,3,43,132,161,32,328,34,10,29.4,15,44.1,224,1674,842,28,20,11,23,6,251,56,Matches,1bf33a9a
2065,Ignacio Pussetto,ar ARG,MFDF,Sampdoria,it Serie A,27-078,1995,1.7,81,2,11,23,47,5,81,3,1,33.3,2,66.7,34,150,34,2,1,0,7,1,51,17,Matches,62437b4f
2066,Niklas Pyyhtiä,fi FIN,MF,Bologna,it Serie A,19-165,2003,0.4,24,0,7,11,6,2,24,0,0,,0,,16,61,25,1,0,0,0,1,20,3,Matches,88f53b75
2067,Fabio Quagliarella,it ITA,FW,Sampdoria,it Serie A,40-037,1983,4.4,173,3,10,62,102,31,173,4,1,25.0,2,50.0,111,398,95,3,3,1,18,3,131,42,Matches,ee4f2f3b
2068,Giacomo Quagliata,it ITA,DF,Cremonese,it Serie A,23-018,2000,5.5,313,9,83,104,135,8,313,12,4,33.3,6,50.0,133,864,605,13,13,0,9,4,145,37,Matches,1b9c7401
