Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
77,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29-027,1994,21.7,1003,18,113,324,584,94,1003,60,23,38.3,28,46.7,634,4226,1822,61,33,21,34,18,702,200,Matches,862a1c15
78,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32-071,1990,7.5,667,48,232,385,51,5,667,1,1,100.0,0,0.0,451,2756,1648,17,7,0,6,1,504,3,Matches,f4290206
79,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33-240,1989,11.6,697,31,190,361,151,11,697,13,7,53.8,6,46.2,362,2176,1171,24,20,0,10,13,331,27,Matches,0a63446f
80,Éder Álvarez Balanta,co COL,MF,Schalke 04,de Bundesliga,30-009,1993,1.6,57,2,21,27,9,0,57,2,2,100.0,0,0.0,23,113,74,1,1,0,1,2,26,0,Matches,8ce30c57
81,Carlos Álvarez,es ESP,FW,Sevilla,es La Liga,19-215,2003,0.1,,,,,,,,,,,,,,,,,,,,,,,Matches,629081bd
82,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,22-350,2000,9.0,430,35,146,221,66,5,430,10,2,20.0,7,70.0,157,616,264,6,4,1,8,3,210,16,Matches,852ddfb8
83,Julián Álvarez,ar ARG,FWMF,Manchester City,eng Premier League,23-037,2000,8.0,322,4,20,131,174,46,322,13,8,61.5,4,30.8,185,1074,520,22,8,11,13,10,237,51,Matches,15ab5a2b
84,Agustín Álvarez Martínez,uy URU,FWMF,Sassuolo,it Serie A,21-294,2001,3.5,135,4,12,68,58,11,135,14,5,35.7,8,57.1,68,246,85,2,0,1,16,10,86,16,Matches,ab472696
85,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,28-044,1995,19.1,1252,124,519,683,63,12,1252,7,3,42.9,0,0.0,693,4717,3239,26,13,1,4,1,701,6,Matches,3ecc11d8
86,Ibrahim Amadou,fr FRA,DFMF,Angers,fr Ligue 1,29-337,1993,4.7,244,54,148,88,9,2,244,1,0,0.0,1,100.0,165,845,397,0,3,0,2,4,143,4,Matches,9260926b
87,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,26-114,1996,0.6,39,0,7,28,5,1,39,7,3,42.9,4,57.1,21,160,78,3,2,0,2,3,21,0,Matches,00eba9c9
88,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,28-078,1994,15.2,1091,159,564,489,40,5,1091,5,2,40.0,2,40.0,664,3210,1945,18,10,0,7,4,792,5,Matches,1a4ef233
89,Amath,sn SEN,MFFW,Mallorca,es La Liga,26-236,1996,5.8,213,6,22,72,122,18,213,15,6,40.0,9,60.0,120,822,392,13,10,6,24,10,127,31,Matches,f3b1d9a2
90,Jordan Amavi,fr FRA,DF,Getafe,es La Liga,29-000,1994,2.1,118,8,33,65,22,1,118,1,0,0.0,1,100.0,41,231,121,4,4,1,1,0,43,5,Matches,22721b88
