Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
2508,Sambou Sissoko,fr FRA,MFDF,Reims,fr Ligue 1,22,1999,2.0,0,0,0,1,4,0,1,2,6,0,0,0,12,4,2,66.7,Matches,e4bb1f08
2509,Antonio Sivera,es ESP,GK,Alavés,es La Liga,24,1996,3.1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches,9970da54
2510,Ellyes Skhiri,tn TUN,MF,Köln,de Bundesliga,26,1995,20.2,3,0,0,18,21,2,6,37,33,0,0,0,157,34,23,59.6,Matches,c2211709
2511,Oliver Skipp,eng ENG,MF,Tottenham,eng Premier League,20,2000,15.0,6,0,0,16,16,1,6,12,19,0,0,0,77,12,10,54.5,Matches,6250083a
2512,Leo Skiri Østigård,no NOR,DF,Genoa,it Serie A,21,1999,13.0,4,2,1,15,6,3,0,8,9,0,0,0,85,63,19,76.8,Matches,b35a7399
2513,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,30,1991,36.0,4,0,0,2,5,0,0,0,0,0,2,0,40,15,1,93.8,Matches,ab4449d6
2514,Andreas Skov Olsen,dk DEN,FWDF,Bologna,it Serie A,21,1999,8.3,0,0,0,4,15,0,37,3,10,0,0,0,48,4,10,28.6,Matches,c50cee19
2515,Robert Skov,dk DEN,FWDF,Hoffenheim,de Bundesliga,25,1996,4.1,1,0,0,6,5,0,18,3,2,0,0,0,20,3,5,37.5,Matches,ff98492b
2516,Milan Škriniar,sk SVK,DF,Inter,it Serie A,26,1995,35.0,3,0,0,43,23,2,3,25,27,0,1,0,160,51,52,49.5,Matches,30f5ffa9
2517,Islam Slimani,dz ALG,FW,Lyon,fr Ligue 1,33,1988,6.4,3,0,0,6,5,11,1,2,2,0,0,0,18,11,10,52.4,Matches,ffec9769
2518,William Smallbone,ie IRL,MFFW,Southampton,eng Premier League,21,2000,1.5,0,0,0,2,1,0,4,2,4,0,0,0,12,1,3,25.0,Matches,5e105217
2519,Chris Smalling,eng ENG,DF,Roma,it Serie A,31,1989,23.2,0,0,0,9,17,0,2,26,23,0,0,1,106,49,13,79.0,Matches,b6964eb6
2520,Emile Smith Rowe,eng ENG,MFFW,Arsenal,eng Premier League,21,2000,21.3,1,0,0,5,21,2,45,15,7,0,0,0,105,7,18,28.0,Matches,17695062
2521,Cédric Soares,pt POR,DF,Arsenal,eng Premier League,29,1991,16.5,3,0,0,15,6,3,100,16,26,0,1,0,79,12,27,30.8,Matches,839c14e1
2522,Danilo Soares,br BRA,DF,Bochum,de Bundesliga,29,1991,28.5,4,0,0,34,42,0,66,62,71,0,2,0,287,47,30,61.0,Matches,c05f2f8c
