Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
2522,Christian Pulisic,us USA,FWDF,Chelsea,eng Premier League,24-172,1998,16,609,38,27.1,6.8,6,66,0,10,21,1,1.38,8,8,0,0.00,+0.05,8.3,8.4,-0.1,-0.01,+0.03,Matches,1bf33a9a
2523,Ignacio Pussetto,ar ARG,MFDF,Sampdoria,it Serie A,27-078,1995,5,152,30,6.8,1.7,1,53,0,4,25,3,0.60,0,2,-2,-1.18,-0.07,0.7,3.5,-2.8,-1.64,-1.05,Matches,62437b4f
2524,Niklas Pyyhtiä,fi FIN,MF,Bologna,it Serie A,19-165,2003,3,37,12,1.6,0.4,0,,0,3,12,7,1.00,0,0,0,0.00,+0.12,0.5,0.1,+0.4,+0.88,+1.11,Matches,88f53b75
2525,Fabio Quagliarella,it ITA,FW,Sampdoria,it Serie A,40-037,1983,17,396,23,17.6,4.4,2,63,0,15,18,3,0.35,2,10,-8,-1.82,-0.85,3.8,7.9,-4.1,-0.92,-0.32,Matches,ee4f2f3b
2526,Giacomo Quagliata,it ITA,DF,Cremonese,it Serie A,23-018,2000,13,493,38,21.9,5.5,4,76,1,9,21,9,0.46,4,13,-9,-1.64,-0.82,5.8,12.8,-7.0,-1.27,-0.68,Matches,1b9c7401
2527,Joshua Quarshie,de GER,MF,Hoffenheim,de Bundesliga,18-226,2004,1,1,1,0.0,0.0,0,,0,1,1,1,0.00,0,0,0,0.00,+0.57,0.1,0.0,+0.1,+7.88,+7.99,Matches,3c200e05
2528,Ghjuvanni Quilichini,fr FRA,GK,Ajaccio,fr Ligue 1,20-189,2002,1,82,82,3.5,0.9,0,,0,1,82,3,3.00,1,0,+1,+1.10,+2.21,0.5,0.5,0.0,-0.05,+0.12,Matches,1b729a98
2529,Domingos Quina,pt POR,MF,Elche,es La Liga,23-111,1999,10,275,28,12.7,3.1,2,73,1,8,16,3,0.30,2,8,-6,-1.96,-0.82,2.9,7.8,-4.9,-1.60,-0.43,Matches,41fb0f4e
2530,Nacho Quintana,es ESP,MF,Sevilla,es La Liga,22-014,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,8e613398
2531,Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,27-340,1995,21,1758,84,78.1,19.5,20,87,16,1,24,0,2.14,34,15,+19,+0.97,+0.79,28.9,17.2,+11.7,+0.60,+0.97,Matches,8794e251
2532,Uroš Račić,rs SRB,MF,Valencia,es La Liga,24-357,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,faed84db
2533,Nemanja Radonjić,rs SRB,MFFW,Torino,it Serie A,27-022,1996,22,974,44,43.3,10.8,10,74,2,12,20,2,1.14,13,11,+2,+0.18,+0.47,12.7,12.2,+0.5,+0.04,+0.18,Matches,0630eb63
2534,Ivan Radovanović,rs SRB,MFDF,Salernitana,it Serie A,34-192,1988,10,671,67,29.8,7.5,7,82,4,3,32,3,1.10,9,13,-4,-0.54,+0.15,7.5,13.0,-5.4,-0.73,+0.16,Matches,023937a9
2535,Ionuț Radu,ro ROU,GK,Cremonese,it Serie A,25-285,1997,9,810,90,36.0,9.0,9,90,9,0,,0,0.33,7,19,-12,-1.33,-0.52,8.6,19.1,-10.5,-1.17,-0.67,Matches,67f649be
2536,Ionuț Radu,ro ROU,GK,Auxerre,fr Ligue 1,25-285,1997,7,630,90,26.9,7.0,7,90,7,0,,0,1.29,7,8,-1,-0.14,+1.17,9.4,6.6,+2.8,+0.40,+1.05,Matches,67f649be
2537,Ștefan Radu,ro ROU,DF,Lazio,it Serie A,36-138,1986,0,,,0.0,0.0,0,,0,0,,20,3.00,1,0,+1,,,,,,,,Matches,53de807a
2538,Francesco Raffaelli,it ITA,GK,Bologna,it Serie A,17-292,2005,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches,d827b7e7
2539,Antonio Raillo,es ESP,DF,Mallorca,es La Liga,31-152,1991,23,2070,90,95.8,23.0,23,90,23,0,,0,1.22,19,25,-6,-0.26,-2.26,20.2,26.8,-6.6,-0.29,-0.21,Matches,b857bd29
2540,Antonio Raimondo,it ITA,FW,Bologna,it Serie A,18-356,2004,2,15,8,0.7,0.2,0,,0,2,8,6,3.00,1,0,+1,+6.00,+6.16,0.3,0.0,+0.2,+1.49,+1.71,Matches,ce1a6c7e
2541,Predrag Rajković,rs SRB,GK,Mallorca,es La Liga,27-129,1995,24,2160,90,100.0,24.0,24,90,24,0,,0,1.29,21,25,-4,-0.17,,20.6,27.3,-6.7,-0.28,,Matches,58ad9383
2542,Ivan Rakitić,hr CRO,MF,Sevilla,es La Liga,34-364,1988,19,1067,56,49.4,11.9,13,72,6,6,21,3,1.11,12,19,-7,-0.59,-0.18,12.3,20.8,-8.5,-0.72,-0.57,Matches,89f951b5
2543,Diant Ramaj,de GER,GK,Eint Frankfurt,de Bundesliga,21-171,2001,1,90,90,4.3,1.0,1,90,1,0,,22,1.00,1,1,0,0.00,-0.55,0.2,1.9,-1.8,-1.76,-2.01,Matches,b90c4a43
2544,Largie Ramazani,be BEL,FWMF,Almería,es La Liga,22-010,2001,22,1120,51,51.9,12.4,12,75,2,10,22,2,1.00,10,23,-13,-1.04,-0.96,14.2,24.5,-10.3,-0.83,-0.73,Matches,cc9256ef
2545,Simon Ramet,fr FRA,MF,Lille,fr Ligue 1,19-361,2003,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches,ed8cecc9
2546,Adil Rami,fr FRA,DF,Troyes,fr Ligue 1,37-072,1985,10,746,75,31.9,8.3,8,82,5,2,45,6,0.60,9,14,-5,-0.60,+0.30,8.2,17.9,-9.6,-1.16,-0.50,Matches,8dbff17c
2547,Pablo Ramírez,es ESP,DF,Getafe,es La Liga,19-356,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,2e766f5e
2548,Chris Ramos,es ESP,FWMF,Cádiz,es La Liga,26-050,1997,4,64,16,3.0,0.7,0,,0,4,16,1,1.00,0,1,-1,-1.41,-0.72,1.3,1.1,+0.2,+0.29,+1.02,Matches,44e07fac
2549,Dario Ramos,es ESP,GK,Osasuna,es La Liga,23-141,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,d2f94ed9
2550,Sergio Ramos,es ESP,DF,Paris S-G,fr Ligue 1,36-344,1986,23,1804,78,77.1,20.0,21,82,16,2,37,0,2.35,49,20,+29,+1.45,-0.57,40.0,24.3,+15.7,+0.78,-0.82,Matches,08511d65
2551,Calvin Ramsay,sct SCO,DF,Liverpool,eng Premier League,19-221,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,d720e834
2552,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,24-299,1998,26,2340,90,100.0,26.0,26,90,26,0,,0,2.42,59,25,+34,+1.31,,50.3,25.4,+24.9,+0.96,,Matches,466fb2c5
2553,Aaron Ramsey,wls WAL,MF,Nice,fr Ligue 1,32-073,1990,20,1126,56,48.1,12.5,13,72,4,7,28,0,1.70,19,4,+15,+1.20,+1.42,18.8,11.9,+6.8,+0.55,+0.48,Matches,ef619b0b
2554,Jacob Ramsey,eng ENG,MFFW,Aston Villa,eng Premier League,21-285,2001,22,1498,68,66.6,16.6,18,77,6,4,26,0,1.36,21,25,-4,-0.24,+0.12,19.2,25.8,-6.5,-0.39,-0.29,Matches,1544f145
2555,Darren Randolph,ie IRL,GK,Bournemouth,eng Premier League,35-301,1987,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,6385ebfb
2556,Darren Randolph,ie IRL,GK,West Ham,eng Premier League,35-301,1987,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches,6385ebfb
2557,Luca Ranieri,it ITA,DF,Fiorentina,it Serie A,23-320,1999,4,282,71,12.5,3.1,3,88,2,1,17,19,1.75,4,3,+1,+0.32,+0.46,4.1,2.6,+1.5,+0.47,+0.22,Matches,8c63fae5
2558,Andrea Ranocchia,it ITA,DF,Monza,it Serie A,35-021,1988,1,47,47,2.1,0.5,1,47,0,0,,1,0.00,0,2,-2,-3.83,-3.71,0.1,1.0,-0.9,-1.82,-1.79,Matches,539230cf
2559,Filippo Ranocchia,it ITA,MF,Monza,it Serie A,21-299,2001,13,504,39,22.4,5.6,5,63,1,8,24,10,1.31,5,9,-4,-0.71,-0.66,5.7,7.0,-1.3,-0.23,-0.21,Matches,d9ebed1c
2560,Lilian Raolisoa,fr FRA,MFDF,Angers,fr Ligue 1,22-266,2000,2,47,24,2.0,0.5,0,,0,2,24,2,0.00,1,1,0,0.00,+1.45,0.8,0.2,+0.6,+1.18,+1.70,Matches,79a793b7
2561,Raphinha,br BRA,FW,Barcelona,es La Liga,26-085,1996,23,1187,52,55.0,13.2,13,72,1,10,25,1,2.57,23,2,+21,+1.59,+0.02,28.1,10.4,+17.7,+1.34,+0.32,Matches,3423f250
2562,Nicolai Rapp,de GER,MFDF,Werder Bremen,de Bundesliga,26-086,1996,7,71,10,3.4,0.8,0,,0,7,10,4,1.29,3,1,+2,+2.54,+2.99,2.0,1.2,+0.7,+0.92,+1.33,Matches,c8b3a472
2563,Elba Rashani,xk KVX,MFDF,Clermont Foot,fr Ligue 1,29-304,1993,22,1443,66,61.7,16.0,17,78,5,5,24,0,1.27,18,22,-4,-0.25,+0.15,19.3,23.9,-4.5,-0.28,+0.64,Matches,25749008
2564,Marcus Rashford,eng ENG,FW,Manchester Utd,eng Premier League,25-129,1997,25,2036,81,90.5,22.6,23,86,13,2,32,0,1.96,37,31,+6,+0.27,+0.27,34.8,27.7,+7.1,+0.31,-0.23,Matches,a1d5bd30
2565,Giacomo Raspadori,it ITA,FWMF,Napoli,it Serie A,23-019,2000,15,580,39,25.8,6.4,7,63,1,8,17,6,2.53,10,4,+6,+0.93,-1.01,11.6,5.5,+6.1,+0.95,-0.17,Matches,6e058f06
2566,Giacomo Raspadori,it ITA,FW,Sassuolo,it Serie A,23-019,2000,1,45,45,2.0,0.5,0,,0,1,45,0,0.00,0,1,-1,-2.00,-1.76,0.4,0.9,-0.5,-1.00,-0.92,Matches,6e058f06
2567,Rafael Ratão,br BRA,FW,Toulouse,fr Ligue 1,27-099,1995,20,1331,67,56.9,14.8,19,68,1,1,33,1,1.30,28,26,+2,+0.14,+0.76,24.1,22.3,+1.8,+0.12,+0.62,Matches,40ef7347
2568,David Raum,de GER,DFFW,RB Leipzig,de Bundesliga,24-321,1998,21,1300,62,62.8,14.4,15,82,9,6,11,2,1.81,28,17,+11,+0.76,+0.06,26.2,16.7,+9.5,+0.66,-0.19,Matches,7d450ed3
2569,Federico Ravaglia,it ITA,GK,Bologna,it Serie A,23-118,1999,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches,6662d731
2570,Nicola Ravaglia,it ITA,GK,Sampdoria,it Serie A,34-087,1988,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches,d7a35008
2571,Luca Ravanelli,it ITA,DF,Cremonese,it Serie A,26-052,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,029370a7
2572,Rayan Raveloson,mg MAD,DFMF,Auxerre,fr Ligue 1,26-052,1997,22,1371,62,58.6,15.2,15,87,13,7,10,2,0.95,10,26,-16,-1.05,-0.12,16.1,23.5,-7.4,-0.48,-0.28,Matches,fb3236a7
2573,David Raya,es ESP,GK,Brentford,eng Premier League,27-175,1995,24,2160,90,100.0,24.0,24,90,24,0,,0,1.58,40,32,+8,+0.33,,34.6,30.3,+4.3,+0.18,,Matches,98ea5115
2574,Tim Ream,us USA,DF,Fulham,eng Premier League,35-155,1987,26,2337,90,99.9,26.0,26,90,25,0,,0,1.50,38,34,+4,+0.15,+0.15,32.6,42.7,-10.1,-0.39,-3.22,Matches,28b40c9c
2575,Ante Rebić,hr CRO,FWMF,Milan,it Serie A,29-169,1993,16,594,37,26.4,6.6,6,67,0,10,19,2,1.81,14,9,+5,+0.76,+0.49,11.1,7.8,+3.2,+0.49,+0.11,Matches,536cebe5
2576,Arkadiusz Reca,pl POL,DF,Spezia,it Serie A,27-265,1995,21,1610,77,71.6,17.9,19,81,12,2,32,0,0.81,16,26,-10,-0.56,+0.85,19.0,27.2,-8.2,-0.46,+0.46,Matches,6213fd82
2577,Nathan Redmond,eng ENG,DF,Southampton,eng Premier League,29-003,1994,1,1,1,0.0,0.0,0,,0,1,1,0,0.00,0,0,0,0.00,+0.84,0.0,0.0,0.0,-1.89,-1.52,Matches,ab651565
2578,Harrison Reed,eng ENG,MF,Fulham,eng Premier League,28-041,1995,25,2040,82,87.2,22.7,25,82,14,0,,0,1.56,32,31,+1,+0.04,-0.86,27.9,38.3,-10.4,-0.46,-0.59,Matches,803ae100
2579,Sergio Reguilón,es ESP,DF,Atlético Madrid,es La Liga,26-083,1996,4,87,22,4.0,1.0,0,,0,4,22,6,1.00,1,0,+1,+1.03,+0.25,3.0,1.4,+1.6,+1.62,+1.29,Matches,3353737a
2580,Leon Reichardt,de GER,DF,Stuttgart,de Bundesliga,18-254,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,109bd9ea
2581,Bobby Reid,jm JAM,FWDF,Fulham,eng Premier League,30-035,1993,25,1968,79,84.1,21.9,24,81,10,1,16,0,1.56,31,29,+2,+0.09,-0.39,26.7,35.9,-9.2,-0.42,-0.23,Matches,0f7533cd
2582,Pepe Reina,es ESP,GK,Villarreal,es La Liga,40-190,1982,9,810,90,37.5,9.0,9,90,9,0,,11,1.78,13,12,+1,+0.11,-0.16,15.5,14.2,+1.3,+0.15,-0.02,Matches,e358587b
2583,Jeff Reine-Adélaïde,fr FRA,MF,Troyes,fr Ligue 1,25-051,1998,2,94,47,4.0,1.0,1,71,0,1,23,2,0.00,0,4,-4,-3.83,-3.15,0.7,2.5,-1.8,-1.72,-0.94,Matches,d504b3e1
2584,Jeff Reine-Adélaïde,fr FRA,MF,Lyon,fr Ligue 1,25-051,1998,14,336,24,14.4,3.7,1,45,0,13,22,3,1.07,6,6,0,0.00,-0.49,6.7,5.6,+1.1,+0.30,-0.07,Matches,d504b3e1
2585,Reinier,br BRA,MFFW,Girona,es La Liga,21-049,2002,9,346,38,16.0,3.8,3,76,1,6,20,1,1.33,4,5,-1,-0.26,-0.31,3.9,5.4,-1.5,-0.40,-0.56,Matches,6b21b7b5
2586,Rocco Reitz,de GER,MF,M'Gladbach,de Bundesliga,20-284,2002,1,3,3,0.1,0.0,0,,0,1,3,12,0.00,0,0,0,0.00,+0.04,0.0,0.0,0.0,0.00,+0.04,Matches,cc971106
2587,Karim Rekik,nl NED,DF,Sevilla,es La Liga,28-097,1994,10,664,66,30.7,7.4,9,71,5,1,24,3,1.10,9,11,-2,-0.27,+0.33,9.1,9.4,-0.3,-0.04,+0.57,Matches,3376a776
2588,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,27-350,1995,24,2160,90,100.0,24.0,24,90,24,0,,0,1.83,32,23,+9,+0.37,,31.1,20.3,+10.8,+0.45,,Matches,374ee424
2589,Panagiotis Retsos,gr GRE,DF,Hellas Verona,it Serie A,24-212,1998,2,122,61,5.4,1.4,1,90,1,1,32,1,0.50,1,3,-2,-1.48,-0.84,2.0,1.5,+0.5,+0.37,+0.65,Matches,4bd00a50
2590,Marco Reus,de GER,MF,Dortmund,de Bundesliga,33-282,1989,15,1025,68,49.5,11.4,12,79,5,3,25,0,2.40,18,9,+9,+0.79,-0.07,16.3,11.0,+5.3,+0.46,0.00,Matches,36a3ff67
2591,Alejandro Revuelta Montero,es ESP,DF,Getafe,es La Liga,22-327,2000,1,1,1,0.0,0.0,0,,0,1,1,5,3.00,0,0,0,0.00,+0.38,0.0,0.0,0.0,-3.98,-3.65,Matches,14d5b7ac
2592,Elvis Rexhbeçaj,de GER,MF,Augsburg,de Bundesliga,25-128,1997,20,1678,84,81.1,18.6,20,84,11,0,,0,1.20,22,30,-8,-0.43,+0.26,19.4,30.9,-11.6,-0.62,-0.39,Matches,1ae836b1
2593,Gio Reyna,us USA,FWMF,Dortmund,de Bundesliga,20-116,2002,14,503,36,24.3,5.6,4,61,0,10,26,5,1.93,15,9,+6,+1.07,+0.33,11.1,7.3,+3.8,+0.68,+0.28,Matches,7fa4e703
2594,Chadi Riad,es ESP,MF,Barcelona,es La Liga,19-265,2003,1,2,2,0.1,0.0,0,,0,1,2,2,3.00,0,0,0,0.00,-1.58,0.0,0.1,0.0,-1.53,-2.73,Matches,b3b9b8b8
2595,Nico Ribaudo,es ESP,FWMF,Espanyol,es La Liga,21-332,2001,18,496,28,23.0,5.5,7,49,0,11,14,6,1.06,7,9,-2,-0.36,-0.15,5.2,7.9,-2.8,-0.50,-0.53,Matches,ce8039aa
2596,Alexsandro Ribeiro,br BRA,DF,Lille,fr Ligue 1,23-212,1999,10,622,62,26.6,6.9,5,86,4,5,38,15,1.80,14,15,-1,-0.14,-0.88,14.0,8.8,+5.3,+0.76,+0.06,Matches,102c9665
2597,Tiago Ribeiro,pt POR,MF,Valencia,es La Liga,20-360,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,507d7569
2598,Franck Ribéry,fr FRA,MF,Salernitana,it Serie A,39-336,1983,1,37,37,1.6,0.4,0,,0,1,37,0,0.00,0,0,0,0.00,+0.65,0.2,0.8,-0.7,-1.61,-0.79,Matches,f61c7c4e
2599,Samuele Ricci,it ITA,MF,Torino,it Serie A,21-200,2001,16,1214,76,54.0,13.5,13,87,9,3,26,2,1.69,17,11,+6,+0.44,+1.14,13.7,14.2,-0.6,-0.04,+0.03,Matches,9823be92
2600,Alessandro Riccio,it ITA,DF,Juventus,it Serie A,21-031,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,3f9d3385
2601,Declan Rice,eng ENG,MF,West Ham,eng Premier League,24-054,1999,25,2250,90,100.0,25.0,25,90,25,0,,0,0.92,23,33,-10,-0.40,,31.3,30.0,+1.4,+0.06,,Matches,1c7012b8
2602,Chris Richards,us USA,DF,Crystal Palace,eng Premier League,22-346,2000,8,357,45,15.9,4.0,3,90,3,5,17,8,0.88,2,9,-7,-1.76,-1.57,2.9,9.3,-6.4,-1.61,-1.33,Matches,0a3d6d2b
2603,Richarlison,br BRA,MFFW,Tottenham,eng Premier League,25-303,1997,17,664,39,28.4,7.4,7,70,1,10,17,1,1.88,14,11,+3,+0.41,+0.03,11.6,9.3,+2.3,+0.31,+0.06,Matches,fa031b34
2604,Marco Richter,de GER,MFFW,Hertha BSC,de Bundesliga,25-105,1997,20,1194,60,57.7,13.3,13,78,5,7,25,1,0.95,19,31,-12,-0.90,-0.49,14.8,22.6,-7.8,-0.59,-0.26,Matches,f972644c
2605,Diego Rico,es ESP,DF,Real Sociedad,es La Liga,30-014,1993,17,1376,81,63.7,15.3,15,85,12,2,54,3,1.82,20,11,+9,+0.59,+0.59,19.3,11.7,+7.6,+0.50,+0.13,Matches,d9ba39fc
2606,Sergio Rico,es ESP,GK,Paris S-G,fr Ligue 1,29-189,1993,0,,,,,0,,0,0,,14,,,,,,,,,,,,Matches,5f0241b2
2607,Jaïro Riedewald,nl NED,DFFW,Crystal Palace,eng Premier League,26-181,1996,4,49,12,2.2,0.5,0,,0,4,12,14,1.75,0,0,0,0.00,+0.45,0.3,0.9,-0.6,-1.12,-0.65,Matches,7a1f2c08
2608,Manuel Riemann,de GER,GK,Bochum,de Bundesliga,34-181,1988,23,2070,90,100.0,23.0,23,90,23,0,,0,0.83,24,56,-32,-1.39,,23.8,44.8,-21.0,-0.91,,Matches,9f941969
2609,Tomás Rincón,ve VEN,MF,Sampdoria,it Serie A,35-055,1988,22,1568,71,69.7,17.4,18,80,12,4,31,2,0.55,9,29,-20,-1.15,-0.09,14.6,26.7,-12.1,-0.69,-0.12,Matches,f1cfc209
2610,Rémy Riou,fr FRA,GK,Lyon,fr Ligue 1,35-215,1987,5,421,84,18.0,4.7,4,90,4,1,61,21,2.20,7,4,+3,+0.64,+0.27,8.9,4.5,+4.3,+0.92,+0.69,Matches,7f41ee30
2611,Renaud Ripart,fr FRA,FWMF,Troyes,fr Ligue 1,29-360,1993,23,1133,49,48.4,12.6,12,74,3,11,22,2,0.78,17,25,-8,-0.64,+0.33,14.4,21.4,-6.9,-0.55,+0.52,Matches,beae3a73
2612,Rodrigo Riquelme,es ESP,MFFW,Girona,es La Liga,22-341,2000,23,1484,65,68.7,16.5,17,76,3,6,32,0,1.30,24,28,-4,-0.24,-0.78,20.8,23.3,-2.5,-0.15,-0.73,Matches,65154df0
2613,Robin Risser,fr FRA,GK,Strasbourg,fr Ligue 1,18-097,2004,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches,56a66faa
2614,Matt Ritchie,sct SCO,MFFW,Newcastle Utd,eng Premier League,33-180,1989,3,24,8,1.1,0.3,0,,0,3,8,13,1.33,0,0,0,0.00,-0.76,0.6,0.7,-0.1,-0.39,-0.97,Matches,71ef519e
2615,Gorka Rivera Alonso,es ESP,DF,Getafe,es La Liga,18-220,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,f1124008
2616,Sergi Roberto,es ESP,DFMF,Barcelona,es La Liga,31-030,1992,15,789,53,36.5,8.8,8,81,3,7,20,4,2.33,15,5,+10,+1.14,-0.70,15.0,8.4,+6.6,+0.76,-0.69,Matches,335fa267
2617,Lucas Robertone,ar ARG,MF,Almería,es La Liga,25-356,1997,23,1742,76,80.6,19.4,22,78,5,1,30,0,1.09,25,31,-6,-0.31,+1.41,22.0,28.8,-6.8,-0.35,+0.63,Matches,a8981944
2618,Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,28-363,1994,22,1682,76,74.8,18.7,19,84,12,3,29,1,1.73,36,20,+16,+0.86,+0.38,35.1,24.2,+10.9,+0.58,+0.34,Matches,2e4f5f03
2619,Jordan Robinand,fr FRA,MF,Strasbourg,fr Ligue 1,19-174,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,e2348f3d
2620,Antonee Robinson,us USA,DF,Fulham,eng Premier League,25-213,1997,23,2008,87,85.8,22.3,23,87,22,0,,0,1.57,33,25,+8,+0.36,+1.44,29.6,33.3,-3.6,-0.16,+1.57,Matches,289601e6
2621,Joel Robles,es ESP,GK,Leeds United,eng Premier League,32-265,1990,0,,,,,0,,0,0,,14,,,,,,,,,,,,Matches,cda0b317
2622,Joel Roca,es ESP,MFFW,Girona,es La Liga,17-275,2005,4,67,17,3.1,0.7,0,,0,4,17,14,0.00,0,0,0,0.00,0.00,1.1,0.3,+0.7,+0.97,+0.92,Matches,5f21b94c
2623,Marc Roca,es ESP,MF,Leeds United,eng Premier League,26-103,1996,21,1466,70,65.2,16.3,19,75,4,2,25,1,1.00,20,30,-10,-0.61,-0.50,19.5,25.3,-5.8,-0.35,-0.42,Matches,da27e268
2624,Enzo Roco,cl CHI,DF,Elche,es La Liga,30-205,1992,18,1390,77,64.4,15.4,17,81,11,1,19,4,0.44,14,34,-20,-1.29,-0.13,14.8,32.2,-17.3,-1.12,+0.27,Matches,37f827ec
2625,Marek Rodák,sk SVK,GK,Fulham,eng Premier League,26-086,1996,2,180,90,7.7,2.0,2,90,2,0,,24,1.00,2,2,0,0.00,-0.17,2.7,2.1,+0.6,+0.30,+0.74,Matches,17acc2ed
2626,Sebastian Rode,de GER,MF,Eint Frankfurt,de Bundesliga,32-149,1990,19,871,46,42.1,9.7,11,62,0,8,24,1,1.68,19,20,-1,-0.10,-1.08,11.8,13.7,-1.9,-0.19,-0.61,Matches,e12b0b5b
2627,Kaden Rodney,eng ENG,MF,Crystal Palace,eng Premier League,18-153,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,49375cdd
2628,Joe Rodon,wls WAL,DF,Rennes,fr Ligue 1,25-138,1997,14,1237,88,52.9,13.7,14,88,12,0,,9,1.50,25,16,+9,+0.65,+0.08,22.3,16.6,+5.8,+0.42,+0.22,Matches,8d62d31a
2629,Rodri,es ESP,MF,Manchester City,eng Premier League,26-260,1996,25,2147,86,91.8,23.9,25,86,19,0,,0,2.20,58,21,+37,+1.55,-0.31,48.6,18.2,+30.4,+1.27,+0.18,Matches,6434f10d
2630,Rodrigo,es ESP,FWMF,Leeds United,eng Premier League,32-003,1991,18,1296,72,57.6,14.4,17,74,5,1,45,0,1.00,18,24,-6,-0.42,+0.06,18.8,22.2,-3.4,-0.24,-0.07,Matches,1fb1c435
2631,Rodrigo,es ESP,FWMF,Betis,es La Liga,22-297,2000,17,992,58,45.9,11.0,13,69,2,4,24,6,1.76,13,11,+2,+0.18,-0.20,15.0,12.8,+2.2,+0.20,-0.07,Matches,85bed4ee
2632,Alex Rodríguez,es ESP,DF,Getafe,es La Liga,20-353,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,8d8bbf13
2633,Ángel Rodríguez,es ESP,FWMF,Mallorca,es La Liga,35-317,1987,10,243,24,11.3,2.7,1,76,0,9,19,11,0.80,1,2,-1,-0.37,-0.23,3.2,2.9,+0.3,+0.11,+0.44,Matches,8cfc2f69
2634,Óscar Rodríguez Arnaiz,es ESP,MF,Celta Vigo,es La Liga,24-254,1998,23,1270,55,58.8,14.1,14,78,7,9,19,0,1.22,15,22,-7,-0.50,-0.39,14.4,16.2,-1.8,-0.13,-0.43,Matches,19709006
2635,Dani Rodríguez,es ESP,MF,Mallorca,es La Liga,34-276,1988,23,1418,62,65.6,15.8,18,72,1,5,25,0,1.22,15,14,+1,+0.06,+0.67,11.9,18.3,-6.4,-0.41,-0.38,Matches,70f8e0bd
2636,Guido Rodríguez,ar ARG,MF,Betis,es La Liga,28-331,1994,20,1657,83,76.7,18.4,19,85,14,1,45,1,1.70,24,17,+7,+0.38,+0.38,26.0,22.6,+3.4,+0.19,-0.22,Matches,34e393f2
2637,Miguel Rodríguez,es ESP,FW,Celta Vigo,es La Liga,19-314,2003,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches,958d67bb
2638,Pablo Rodríguez,es ESP,FWMF,Lecce,it Serie A,21-217,2001,4,54,14,2.4,0.6,0,,0,4,14,14,0.25,0,0,0,0.00,+0.20,0.6,0.8,-0.1,-0.21,+0.09,Matches,1d4e63b6
2639,Ricardo Rodríguez,ch SUI,DF,Torino,it Serie A,30-196,1992,22,1610,73,71.6,17.9,17,87,13,5,27,2,1.27,20,20,0,0.00,+0.28,19.2,19.8,-0.6,-0.03,+0.09,Matches,7f78ad23
2640,Rodrygo,br BRA,FW,Real Madrid,es La Liga,22-059,2001,21,1456,69,67.4,16.2,15,88,10,6,23,0,2.19,32,11,+21,+1.30,+0.28,36.1,11.9,+24.1,+1.49,+0.86,Matches,8f5e92a6
2641,Mads Roerslev,dk DEN,DF,Brentford,eng Premier League,23-258,1999,15,934,62,43.2,10.4,10,86,9,5,16,9,2.00,18,11,+7,+0.67,+0.60,14.8,14.4,+0.4,+0.03,-0.25,Matches,57c94db2
2642,Agustín Rogel,uy URU,DF,Hertha BSC,de Bundesliga,25-143,1997,13,1013,78,48.9,11.3,11,86,10,2,34,0,0.85,15,24,-9,-0.80,-0.20,11.9,18.9,-7.0,-0.62,-0.29,Matches,ea42c03f
2643,Rogério,br BRA,DF,Sassuolo,it Serie A,25-055,1998,23,1918,83,85.2,21.3,22,87,20,1,3,1,1.13,24,33,-9,-0.42,-0.96,26.0,28.8,-2.8,-0.13,-0.22,Matches,10e7f486
2644,Merlin Röhl,de GER,MF,Freiburg,de Bundesliga,20-247,2002,1,13,13,0.6,0.1,0,,0,1,13,4,1.00,0,0,0,0.00,-0.13,0.0,0.0,0.0,0.00,-0.10,Matches,1f2c7b55
