Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
216,Miguel Baeza,es ESP,MF,Celta Vigo,es La Liga,22-347,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,a98f3cbf
217,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,18-360,2004,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches,ad263695
218,Leon Bailey,jm JAM,FWMF,Aston Villa,eng Premier League,25-212,1997,24,1482,62,65.9,16.5,19,73,4,5,18,0,1.38,20,29,-9,-0.55,-0.78,21.3,29.5,-8.3,-0.50,-0.61,Matches,3a233281
219,Eric Bailly,ci CIV,DF,Marseille,fr Ligue 1,28-331,1994,9,422,47,18.0,4.7,4,66,1,5,32,4,2.33,8,5,+3,+0.64,-0.35,8.9,6.2,+2.7,+0.57,+0.07,Matches,a1232f4e
220,Dénys Bain,fr FRA,DF,Auxerre,fr Ligue 1,29-250,1993,2,126,63,5.4,1.4,1,90,1,1,36,14,0.50,2,3,-1,-0.71,+0.30,1.8,1.5,+0.3,+0.20,+0.60,Matches,5065d67d
221,Brandon Baiye,be BEL,MF,Clermont Foot,fr Ligue 1,22-072,2000,7,51,7,2.2,0.6,0,,0,7,7,8,1.71,2,2,0,0.00,+0.31,0.8,1.6,-0.7,-1.26,-0.75,Matches,7e3e825e
222,Stefan Bajcetic,es ESP,MF,Liverpool,eng Premier League,18-138,2004,10,439,44,19.5,4.9,5,76,0,5,12,10,2.30,11,3,+8,+1.64,+1.09,11.0,5.7,+5.4,+1.10,+0.75,Matches,32e8417f
223,Nedim Bajrami,al ALB,MFFW,Empoli,it Serie A,24-009,1999,19,941,50,41.8,10.5,8,80,4,11,27,1,1.21,8,14,-6,-0.57,-0.30,8.9,18.6,-9.7,-0.93,-0.54,Matches,f42d6c13
224,Nedim Bajrami,al ALB,FW,Sassuolo,it Serie A,24-009,1999,5,286,57,12.7,3.2,2,80,0,3,42,0,2.00,3,4,-1,-0.31,-0.04,3.3,5.1,-1.8,-0.57,-0.54,Matches,f42d6c13
225,Cédric Bakambu,cd COD,MF,Marseille,fr Ligue 1,31-332,1991,3,59,20,2.5,0.7,0,,0,3,20,2,2.33,1,1,0,0.00,-0.95,1.5,1.6,-0.1,-0.14,-0.66,Matches,0af4dcf0
226,Elias Bakatukanda,de GER,MF,Köln,de Bundesliga,18-330,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,6bcf5582
227,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,28-204,1994,2,33,17,1.5,0.4,0,,0,2,17,20,1.50,1,1,0,0.00,-0.41,0.7,0.8,-0.1,-0.24,-0.66,Matches,59bf127b
228,Mitchel Bakker,nl NED,MFDF,Leverkusen,de Bundesliga,22-262,2000,18,1058,59,51.1,11.8,12,80,6,6,16,3,1.33,23,17,+6,+0.51,+0.78,18.3,13.3,+5.0,+0.43,+0.27,Matches,a8567629
229,Ridle Baku,de GER,DF,Wolfsburg,de Bundesliga,24-335,1998,23,1973,86,95.3,21.9,22,88,19,1,45,0,1.48,40,31,+9,+0.41,-1.45,30.1,31.2,-1.0,-0.05,+0.60,Matches,442b56fa
230,Tommaso Baldanzi,it ITA,MF,Empoli,it Serie A,19-351,2003,16,1001,63,44.5,11.1,14,68,3,2,28,5,1.19,10,14,-4,-0.36,+0.07,9.5,15.9,-6.4,-0.58,+0.07,Matches,102e2599
231,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,19-142,2003,21,1480,70,68.5,16.4,18,81,11,3,9,3,2.76,32,5,+27,+1.64,+0.19,33.4,14.0,+19.4,+1.18,-0.04,Matches,5ccc9672
232,Ibrahima Baldé,fr FRA,FW,Lens,fr Ligue 1,20-051,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,a30cb0d4
233,Thierno Balde,fr FRA,DF,Troyes,fr Ligue 1,20-272,2002,21,1524,73,65.1,16.9,18,82,9,3,13,1,0.81,22,38,-16,-0.94,-0.39,17.3,32.4,-15.1,-0.89,-0.20,Matches,3975195f
234,Carlos Baleba,cm CMR,MF,Lille,fr Ligue 1,19-065,2004,12,277,23,11.8,3.1,3,68,0,9,8,9,2.08,4,2,+2,+0.65,+0.17,5.2,2.7,+2.5,+0.82,+0.12,Matches,a1390d2f
235,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,35-008,1988,1,45,45,2.1,0.5,0,,0,1,45,15,0.00,1,2,-1,-2.00,-2.34,0.5,0.6,-0.2,-0.31,-0.78,Matches,1fe67e86
236,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,24-042,1999,26,2035,78,87.0,22.6,23,83,19,3,38,0,2.12,43,23,+20,+0.88,-0.30,39.3,27.8,+11.5,+0.51,-0.01,Matches,7c3ed041
237,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,31-067,1992,24,2115,88,97.9,23.5,24,88,22,0,,0,1.46,29,24,+5,+0.21,+2.21,26.8,28.8,-2.1,-0.09,-3.13,Matches,cee88597
238,Fodé Ballo-Touré,sn SEN,DF,Milan,it Serie A,26-065,1997,3,196,65,8.7,2.2,2,90,2,1,16,18,2.33,3,1,+2,+0.92,+0.57,3.6,1.4,+2.1,+0.97,+0.61,Matches,f449640d
239,Kofi Balmer,nir NIR,DF,Crystal Palace,eng Premier League,22-171,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,0284bd0d
240,Folarin Balogun,eng ENG,FW,Reims,fr Ligue 1,21-249,2001,25,1943,78,83.0,21.6,22,84,10,3,29,0,1.56,31,18,+13,+0.60,+1.74,37.2,25.8,+11.4,+0.53,+1.24,Matches,31822f8c
241,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,32-318,1990,9,555,62,23.7,6.2,4,90,4,5,39,14,0.33,7,18,-11,-1.78,-0.47,8.0,9.9,-1.9,-0.32,+0.23,Matches,7fecbcdb
242,Jonathan Bamba,fr FRA,FW,Lille,fr Ligue 1,26-348,1996,22,1796,82,76.8,20.0,20,87,15,2,24,0,1.73,37,31,+6,+0.30,-0.86,36.1,24.2,+11.9,+0.60,-0.51,Matches,b2bd0f6c
243,Patrick Bamford,eng ENG,FW,Leeds United,eng Premier League,29-185,1993,17,825,49,36.7,9.2,9,66,1,8,29,0,0.82,10,12,-2,-0.22,+0.35,11.4,11.9,-0.6,-0.06,+0.23,Matches,93feac6e
244,Lameck Banda,zm ZAM,FWMF,Lecce,it Serie A,22-039,2001,25,1166,47,51.8,13.0,13,69,2,12,22,0,1.08,10,15,-5,-0.39,-0.39,10.2,15.8,-5.6,-0.43,-0.27,Matches,8a6de8c7
245,Filippo Bandinelli,it ITA,MF,Empoli,it Serie A,27-345,1995,24,1659,69,73.7,18.4,20,77,3,4,31,0,1.17,19,21,-2,-0.11,+1.11,18.3,24.5,-6.2,-0.34,+1.07,Matches,d44360be
246,Léo Baptistão,br BRA,FWMF,Almería,es La Liga,30-195,1992,19,1166,61,54.0,13.0,16,69,1,3,20,0,1.32,19,19,0,0.00,+1.27,14.4,17.7,-3.3,-0.25,+0.48,Matches,35f6db55
247,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,24-335,1998,13,439,34,20.3,4.9,4,68,0,9,19,2,1.15,7,6,+1,+0.21,-0.16,6.2,5.0,+1.2,+0.24,+0.08,Matches,2886c9b5
248,Antonín Barák,cz CZE,MF,Hellas Verona,it Serie A,28-096,1994,1,25,25,1.1,0.3,0,,0,1,25,0,0.00,0,1,-1,-3.60,-2.95,0.1,0.6,-0.5,-1.77,-1.53,Matches,01efac19
249,Antonín Barák,cz CZE,MF,Fiorentina,it Serie A,28-096,1994,20,1145,57,50.9,12.7,13,78,4,7,19,2,1.05,13,17,-4,-0.31,-0.48,16.7,16.2,+0.5,+0.04,-0.47,Matches,01efac19
250,Andrea Barberis,it ITA,MF,Monza,it Serie A,29-088,1993,7,316,45,14.0,3.5,3,75,2,4,23,17,1.29,4,8,-4,-1.14,-1.09,4.0,5.2,-1.1,-0.33,-0.30,Matches,32ebfe1e
251,Tommaso Barbieri,it ITA,DF,Juventus,it Serie A,20-195,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches,6f1d7aa8
252,Francisco Barbosa,es ESP,GK,Betis,es La Liga,23-306,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,2ae958ab
