Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
95,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,26-133,1996,7.8,3,15,7,46.7,1.92,0.89,0.20,0.43,24.1,1,0,0,0.7,0.7,0.05,+2.3,+2.3,Matches,555d5edd
96,Ethan Ampadu,wls WAL,DFMF,Spezia,it Serie A,22-176,2000,18.1,0,12,4,33.3,0.66,0.22,0.00,0.00,17.4,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches,10b9fa99
97,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,26-200,1996,16.4,0,9,3,33.3,0.55,0.18,0.00,0.00,26.5,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,5a2cb25d
98,Ayoub Amraoui,fr FRA,DF,Nice,fr Ligue 1,18-299,2004,2.0,0,1,0,0.0,0.50,0.00,0.00,,21.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,ae11ba3d
99,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26-282,1996,19.4,1,14,7,50.0,0.72,0.36,0.07,0.14,10.6,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches,e34fc66d
100,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,eng Premier League,20-123,2002,1.6,0,4,1,25.0,2.52,0.63,0.00,0.00,12.0,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Matches,de31038e
101,Felipe Anderson,br BRA,FW,Lazio,it Serie A,29-328,1993,21.4,6,27,14,51.9,1.26,0.65,0.22,0.43,14.5,0,0,0,4.7,4.7,0.17,+1.3,+1.3,Matches,9f1893b9
102,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,32-218,1990,23.5,1,16,3,18.8,0.68,0.13,0.06,0.33,15.7,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches,ef9c1c95
103,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,27-251,1995,14.5,4,27,11,40.7,1.86,0.76,0.11,0.27,13.9,0,1,2,5.4,3.8,0.14,-1.4,-0.8,Matches,af3ddb2e
104,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,28-168,1994,18.7,2,20,5,25.0,1.07,0.27,0.10,0.40,20.0,1,0,0,1.2,1.2,0.06,+0.8,+0.8,Matches,e0b113a7
